"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Juliano Belletti","D","44","Brazil","30","1","0","3","10","2","38","36","9","0","2"
"Rafael Márquez","D","41","Mexico","34","1","3","3","31","15","35","13","5","1","4"
"Carles Puyol","D","42","Spain","36","0","0","0","2","0","15","33","6","0","5"
"Giovanni Van Bronckhorst","D","45","Netherlands","27","2","4","1","17","11","18","9","7","0","12"
"Edmílson","D","44","Brazil","1","0","0","0","0","0","0","0","1","0","15"
"Sylvinho","D","46","Brazil","21","10","0","0","3","0","18","6","3","0","16"
"Fernando Navarro","D","38","Spain","5","3","0","0","1","1","6","4","0","0","19"
"Oleguer","D","40","Spain","32","2","1","0","5","3","25","9","3","0","23"
"Jose Francisco Aldava Mora","D",NA,NA,"0","0","0","0","0","0","0","0","0","0","26"
"Carlos Pena","D","30","Mexico","0","0","0","0","0","0","0","0","0","0","27"
"Sergio Rodri","D","36","Spain","1","1","0","0","0","0","0","0","0","0","34"
"Thiago Motta","M","38","Brazil","8","5","0","0","1","0","5","3","1","0","3"
"Xavi","M","40","Spain","36","0","3","2","29","19","19","23","5","0","6"
"Ludovic Giuly","M","44","France","26","0","10","0","33","26","10","11","1","0","8"
"Ronaldinho","M","40","Brazil","34","0","9","5","50","26","22","54","4","0","10"
"Garcia de la Torre Gabri","M","41","Spain","0","0","0","0","0","0","0","0","0","0","18"
"Deco","M","43","Portugal","33","0","7","6","39","22","50","58","12","0","20"
"Demetrio Albertini","M","49","Italy","5","4","0","0","2","1","4","2","1","0","22"
"Andrés Iniesta","M","36","Spain","37","25","2","0","18","11","19","19","2","0","24"
"Verdú","M","37","Spain","0","0","0","0","0","0","0","0","0","0","31"
"Damia","M","38","Spain","9","4","0","0","0","0","0","0","3","0","32"
"Lolo","M","36","Spain","0","0","0","0","0","0","0","0","0","0","37"
"Henrik Larsson","F","49","Sweden","6","3","1","0","0","0","0","0","1","0","7"
"Samuel Etoo","F","39","Cameroon","37","0","24","0","72","48","15","29","4","0","9"
"Maxi Lopez","F","36","Argentina","8","6","0","0","8","3","8","3","0","0","11"
"Oriol Riera","F","34","Spain","0","0","0","0","0","0","0","0","0","0","29"
"Lionel Messi","F","33","Argentina","7","7","1","0","1","1","0","1","0","0","30"
"Peral Javito","F","36","Spain","0","0","0","0","0","0","0","0","0","0","36"
"Cristian","F","37","Spain","0","0","0","0","0","0","0","0","0","0","83"
