"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Dani Alves","D","37","Brazil","33","4","1","11","34","8","59","50","5","2","2"
"Gerard Piqué","D","33","Spain","22","5","2","0","12","6","14","10","7","1","3"
"Carles Puyol","D","42","Spain","25","2","3","0","10","6","21","24","3","0","5"
"Maxwell","D","39","Brazil","7","3","0","0","2","1","6","4","1","0","19"
"Adriano","D","35","Brazil","26","6","1","4","22","10","15","15","3","0","21"
"Eric Abidal","D","41","France","22","2","0","2","5","2","11","6","0","0","22"
"Andreu Fontàs","D","30","Spain","1","0","0","0","0","0","1","0","0","0","24"
"Cesc Fàbregas","M","33","Spain","28","5","9","8","44","21","26","51","6","0","4"
"Xavi","M","40","Spain","31","5","10","7","37","16","5","28","3","0","6"
"Andrés Iniesta","M","36","Spain","27","6","2","9","49","17","21","55","3","0","8"
"Alexis Sánchez","M","31","Chile","25","5","12","5","46","26","22","48","4","0","9"
"Thiago","M","29","Spain","27","7","2","3","24","10","28","39","2","1","11"
"Javier Mascherano","M","36","Argentina","31","1","0","0","3","0","27","40","5","0","14"
"Seydou Keita","M","40","Mali","26","12","3","1","13","6","36","17","4","0","15"
"Sergio Busquets","M","32","Spain","31","3","1","1","5","3","30","77","9","0","16"
"Jonathan dos Santos","M","30","Mexico","3","2","0","0","1","0","5","1","0","0","18"
"Ibrahim Afellay","M","34","Netherlands","4","3","0","0","1","0","0","2","0","0","20"
"David Villa","F","38","Spain","15","7","5","1","35","16","7","7","1","0","7"
"Lionel Messi","F","33","Argentina","37","1","50","15","198","99","27","78","6","0","10"
"Pedro","F","33","Spain","29","9","5","5","40","22","24","22","4","0","17"
"Isaac Cuenca","F","29","Spain","16","5","1","2","14","4","10","11","1","0","39"
