"","name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"1","Gerard Piqué","D","33","Spain","35","0","4","2","18","10","24","21","6","0","3"
"2","Clément Lenglet","D","25","France","23","1","1","0","6","2","30","14","8","1","15"
"3","Jeison Murillo","D","28","Colombia","3","1","0","0","1","1","1","3","0","0","17"
"4","Jordi Alba","D","31","Spain","36","4","2","8","13","5","25","19","6","0","18"
"5","Samuel Umtiti","D","26","France","14","1","0","1","2","0","13","16","4","0","23"
"6","Thomas Vermaelen","D","34","Belgium","9","2","0","0","2","0","10","4","2","0","24"
"7","Juan Miranda","D","20","Spain","0","0","0","0","0","0","0","0","0","0","27"
"8","Jorge Cuenca","D","20","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33"
"9","Juan Brandáriz","D","21","Spain","0","0","0","0","0","0","0","0","0","0","36"
"10","Guillem Jaime","D","21","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38"
"11","Moussa Wagué","D","22","Senegal","3","1","0","0","1","1","9","0","1","0","40"
"12","Nélson Semedo","M","26","Portugal","26","6","1","0","6","2","22","27","4","0","2"
"13","Ivan Rakitic","M","32","Croatia","34","5","3","5","36","11","27","53","5","1","4"
"14","Sergio Busquets","M","32","Spain","35","5","0","1","8","0","38","54","10","0","5"
"15","JeanClair Todibo","M","20","France","2","0","0","0","0","0","4","0","2","0","6"
"16","Philippe Coutinho","M","28","Brazil","34","12","5","2","68","32","19","45","2","0","7"
"17","Arthur","M","24","Brazil","27","8","0","1","6","4","11","40","2","0","8"
"18","Rafinha","M","27","Brazil","5","2","0","0","2","0","7","8","1","0","12"
"19","Malcom","M","23","Brazil","15","9","1","2","11","6","5","9","0","0","14"
"20","KevinPrince Boateng","M","33","Ghana","3","0","0","0","3","1","3","9","1","0","19"
"21","Sergi Roberto","M","28","Spain","29","6","0","7","9","1","18","33","3","0","20"
"22","Carles Aleñá","M","22","Spain","17","11","2","0","14","3","9","14","2","0","21"
"23","Arturo Vidal","M","33","Chile","33","11","3","7","24","9","58","32","7","0","22"
"24","Ricard Puig","M","21","Spain","2","0","0","0","0","0","1","1","0","0","28"
"25","Alex Collado","M","21","Spain","1","1","0","0","2","0","0","1","0","0","34"
"26","Oriol Busquets","M","21","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35"
"27","Carles Perez","M","22","Spain","1","1","0","0","1","0","0","0","0","0","43"
"28","Luis Suárez","F","33","Uruguay","33","2","21","6","112","58","31","57","5","0","9"
"29","Lionel Messi","F","33","Argentina","34","5","36","13","170","87","22","66","3","0","10"
"30","Ousmane Dembélé","F","23","France","29","9","8","5","39","17","22","22","1","0","11"
"31","Paco Alcácer","F","27","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17"
"32","Abel Ruiz","F","20","Spain","1","1","0","0","1","1","0","0","0","0","29"
